"SessionID","TrialID","ItemID","ClickMs","Clicked"
1,1,146,11066,"target"
1,2,147,3925,"target"
1,3,148,2694,"target"
1,4,149,8953,"nontarget"
1,5,150,4096,"target"
1,6,136,5207,"target"
1,7,137,4637,"target"
1,8,138,2233,"target"
1,9,139,3115,"target"
1,10,140,3145,"target"
1,11,141,5488,"target"
1,12,142,7291,"target"
1,13,143,2013,"target"
1,14,144,2543,"target"
1,15,145,6960,"target"
1,16,67,5468,"target"
1,17,68,3685,"target"
1,18,69,2313,"target"
1,19,70,1842,"target"
1,20,214,6739,"target"
1,21,13,12108,"target"
1,22,14,5458,"target"
1,23,15,1652,"target"
1,24,16,3374,"target"
1,25,155,6730,"target"
1,26,97,4307,"target"
1,27,98,10105,"target"
1,28,99,2383,"target"
1,29,100,2514,"target"
1,30,224,2103,"target"
1,31,31,5477,"target"
1,32,32,6840,"target"
1,33,33,1542,"target"
1,34,34,2284,"target"
1,35,161,6499,"target"
1,36,73,5178,"target"
1,37,74,5437,"target"
1,38,75,2093,"target"
1,39,76,4507,"target"
1,40,216,4306,"target"
1,41,49,4266,"target"
1,42,50,7691,"target"
1,43,51,1963,"target"
1,44,52,2984,"target"
1,45,167,13139,"target"
1,46,61,6920,"target"
1,47,62,11847,"target"
1,48,63,3435,"target"
1,49,64,5558,"target"
1,50,212,8823,"target"
1,51,55,7621,"target"
1,52,56,4466,"target"
1,53,57,2463,"target"
1,54,58,2533,"target"
1,55,169,8743,"target"
1,56,103,7371,"target"
1,57,104,4146,"target"
1,58,105,3325,"target"
1,59,106,4397,"target"
1,60,226,5148,"target"
1,61,131,9143,"target"
1,62,132,7551,"target"
1,63,133,1572,"target"
1,64,134,4376,"target"
1,65,135,4266,"target"
1,66,25,4686,"target"
1,67,26,5848,"target"
1,68,27,2314,"target"
1,69,28,2523,"target"
1,70,159,7030,"target"
1,71,79,6159,"target"
1,72,80,9414,"target"
1,73,81,2032,"target"
1,74,82,4096,"target"
1,75,218,4286,"target"
1,76,37,10495,"target"
1,77,38,7641,"target"
1,78,39,2123,"target"
1,79,40,4096,"target"
1,80,163,8712,"target"
1,81,121,6779,"target"
1,82,122,8642,"target"
1,83,123,2494,"target"
1,84,124,4357,"target"
1,85,125,4466,"target"
1,86,85,6740,"target"
1,87,86,3455,"target"
1,88,87,1732,"target"
1,89,88,1862,"target"
1,90,220,3846,"target"
1,91,7,7110,"target"
1,92,8,5358,"target"
1,93,9,2003,"target"
1,94,10,2374,"target"
1,95,153,10475,"target"
1,96,1,4166,"target"
1,97,2,5638,"target"
1,98,3,2744,"target"
1,99,4,2613,"target"
1,100,151,7501,"target"
1,101,43,3035,"target"
1,102,44,3626,"target"
1,103,45,1612,"target"
1,104,46,1842,"target"
1,105,165,6790,"nontarget"
